Gene Group 1	Enrichment Score: 6.724861868546571
OFFICIAL_GENE_SYMBOL	Gene Name
ARHGEF9	Cdc42 guanine nucleotide exchange factor 9(ARHGEF9)
DEF6	DEF6 guanine nucleotide exchange factor(DEF6)
NET1	neuroepithelial cell transforming 1(NET1)
FGD1	FYVE, RhoGEF and PH domain containing 1(FGD1)
GRB14	growth factor receptor bound protein 14(GRB14)
SKAP2	src kinase associated phosphoprotein 2(SKAP2)
STAP1	signal transducing adaptor family member 1(STAP1)
SH2D2A	SH2 domain containing 2A(SH2D2A)
DOK3	docking protein 3(DOK3)
ARHGEF3	Rho guanine nucleotide exchange factor 3(ARHGEF3)
DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1(DAPP1)

Gene Group 2	Enrichment Score: 5.77310531568212
OFFICIAL_GENE_SYMBOL	Gene Name
TCEAL4	transcription elongation factor A like 4(TCEAL4)
FAM53C	family with sequence similarity 53 member C(FAM53C)
HIRIP3	HIRA interacting protein 3(HIRIP3)
MBD6	methyl-CpG binding domain protein 6(MBD6)
SAP130	Sin3A associated protein 130(SAP130)
HMG20A	high mobility group 20A(HMG20A)
WAC	WW domain containing adaptor with coiled-coil(WAC)
GPRASP1	G protein-coupled receptor associated sorting protein 1(GPRASP1)
MAGEH1	MAGE family member H1(MAGEH1)
TFEC	transcription factor EC(TFEC)
EEF1D	eukaryotic translation elongation factor 1 delta(EEF1D)
TCEAL1	transcription elongation factor A like 1(TCEAL1)

Gene Group 3	Enrichment Score: 4.879966733209151
OFFICIAL_GENE_SYMBOL	Gene Name
SERPINA1	serpin family A member 1(SERPINA1)
SERPING1	serpin family G member 1(SERPING1)
SERPINB2	serpin family B member 2(SERPINB2)
SERPINA6	serpin family A member 6(SERPINA6)
SERPINB1	serpin family B member 1(SERPINB1)
SERPINA3	serpin family A member 3(SERPINA3)
SERPINB13	serpin family B member 13(SERPINB13)
SERPINB9	serpin family B member 9(SERPINB9)
SERPINB8	serpin family B member 8(SERPINB8)
SERPINB6	serpin family B member 6(SERPINB6)

Gene Group 4	Enrichment Score: 4.666835915219938
OFFICIAL_GENE_SYMBOL	Gene Name
RPL4	ribosomal protein L4(RPL4)
RPL3	ribosomal protein L3(RPL3)
RPS15	ribosomal protein S15(RPS15)
RPS2	ribosomal protein S2(RPS2)
RPS24	ribosomal protein S24(RPS24)
RPL7A	ribosomal protein L7a(RPL7A)

Gene Group 5	Enrichment Score: 4.521676641498244
OFFICIAL_GENE_SYMBOL	Gene Name
TFEC	transcription factor EC(TFEC)
TFAP4	transcription factor AP-4(TFAP4)
MED12	mediator complex subunit 12(MED12)
BATF	basic leucine zipper ATF-like transcription factor(BATF)
TCF25	transcription factor 25(TCF25)
RTF1	RTF1 homolog, Paf1/RNA polymerase II complex component(RTF1)
GABPA	GA binding protein transcription factor subunit alpha(GABPA)
SAP130	Sin3A associated protein 130(SAP130)
HBP1	HMG-box transcription factor 1(HBP1)
ID1	inhibitor of DNA binding 1(ID1)
SREBF2	sterol regulatory element binding transcription factor 2(SREBF2)
HSF2	heat shock transcription factor 2(HSF2)
MED14	mediator complex subunit 14(MED14)
MAZ	MYC associated zinc finger protein(MAZ)
NCOA6	nuclear receptor coactivator 6(NCOA6)
MXD4	MAX dimerization protein 4(MXD4)
ARID4B	AT-rich interaction domain 4B(ARID4B)
TLX1	T cell leukemia homeobox 1(TLX1)
ATF7IP	activating transcription factor 7 interacting protein(ATF7IP)
MNDA	myeloid cell nuclear differentiation antigen(MNDA)
ZNF263	zinc finger protein 263(ZNF263)
HIVEP1	HIVEP zinc finger 1(HIVEP1)
NRF1	nuclear respiratory factor 1(NRF1)
IRF5	interferon regulatory factor 5(IRF5)
PBX1	PBX homeobox 1(PBX1)
OLIG2	oligodendrocyte transcription factor 2(OLIG2)
POU6F1	POU class 6 homeobox 1(POU6F1)
FOXJ2	forkhead box J2(FOXJ2)
MXI1	MAX interactor 1, dimerization protein(MXI1)
SPI1	Spi-1 proto-oncogene(SPI1)
NFIX	nuclear factor I X(NFIX)
ZBTB33	zinc finger and BTB domain containing 33(ZBTB33)
ZNF174	zinc finger protein 174(ZNF174)
TAF9B	TATA-box binding protein associated factor 9b(TAF9B)
TCF7L1	transcription factor 7 like 1(TCF7L1)
ETV4	ETS variant transcription factor 4(ETV4)
TCEAL1	transcription elongation factor A like 1(TCEAL1)
UBTF	upstream binding transcription factor(UBTF)
TCEAL4	transcription elongation factor A like 4(TCEAL4)
ETV1	ETS variant transcription factor 1(ETV1)
CDK2AP1	cyclin dependent kinase 2 associated protein 1(CDK2AP1)
CTCF	CCCTC-binding factor(CTCF)
TGIF1	TGFB induced factor homeobox 1(TGIF1)
NPAT	nuclear protein, coactivator of histone transcription(NPAT)
ZNF219	zinc finger protein 219(ZNF219)
SOX12	SRY-box transcription factor 12(SOX12)
SUPT3H	SPT3 homolog, SAGA and STAGA complex component(SUPT3H)
FUBP3	far upstream element binding protein 3(FUBP3)
CEBPG	CCAAT enhancer binding protein gamma(CEBPG)
SMAD9	SMAD family member 9(SMAD9)
HMG20A	high mobility group 20A(HMG20A)
CEBPD	CCAAT enhancer binding protein delta(CEBPD)
CEBPB	CCAAT enhancer binding protein beta(CEBPB)
NR1D2	nuclear receptor subfamily 1 group D member 2(NR1D2)

Gene Group 6	Enrichment Score: 4.450852432088883
OFFICIAL_GENE_SYMBOL	Gene Name
MAPKAPK5	MAPK activated protein kinase 5(MAPKAPK5)
LATS1	large tumor suppressor kinase 1(LATS1)
RPS6KA5	ribosomal protein S6 kinase A5(RPS6KA5)
TAOK2	TAO kinase 2(TAOK2)
STK32B	serine/threonine kinase 32B(STK32B)
